,sentence_1,sentence_1_bert
14,아래는 게임 내에서 함께 팀을 맺고 캡쳐한 이미지입니다.,아래는 모두 게임 내에서 함께 팀을 맺고 캡쳐한 이미지입니다.
19,내년 러시아월드컵 자진포기 청원드립니다.,- 내년 러시아월드컵 자진포기 청원드립니다.
20,앞머리 새로 하셨습니다. ^^,앞머리 새로 발견 하셨습니다. ^ ^
22,답답할 때 보면 속이 뻥 뚫릴 것 같아요,답답할 때 보면 정말 속이 뻥 뚫릴 것 같아요
23,노래와 잘 어우러지는 영상 덕분인지 짧지만 강한 인상이 남네요..,노래와 잘 어우러지는 이 영상 덕분인지 짧지만 강한 인상이 남네요..
46,저는 왜 솥에 들어가계시나 했어요 ㅋㅋ,저는 또 왜 솥에 들어가계시나 했어요 ㅋㅋ
54,지금 있는 시설 관리라도 좀 잘 했으면 좋겠습니다,지금 하고 있는 시설 관리라도 좀 잘 했으면 좋겠습니다
55,근데 멜로연기는 영 ㅋㅋㅋ,ㅋㅋㅋ 근데 멜로연기는 영 ㅋㅋㅋ
71,저는 무한리필 도전 중인 대파!,저는 무한리필 도전 중인데 대파!
72,구글 meet에 맞는 사이즈로 리사이즈했습니다,구글 meet에 맞는 큰 사이즈로 리사이즈했습니다
74,고화질 영상으로 수정합니다! ㅎ,ㅎ 고화질 영상으로 수정합니다! ㅎ
76,후반들어 법적공방과 반전은 이영화의 묘미.,그러나 후반들어 법적공방과 반전은 이영화의 묘미.
77,저는 뭔가 대나무처럼 크는 형태일 줄 알았는데 신기하네요,저는 이게 뭔가 대나무처럼 크는 형태일 줄 알았는데 신기하네요
81,옛날 유럽의 어떤 전쟁 때 일단의 군대가 마을에 진주하게 되었습니다.,옛날 유럽의 어떤 도시 정복 전쟁 때 일단의 군대가 마을에 진주하게 되었습니다.
93,할머니: 감독님... 농구가 하고 싶어요,할머니 : 감독님... 농구가 하고는 싶어요
94,보면서 주인공 아이가 참 불쌍하다고 느꼈다.,보면서 주인공 아이가 참 많이 불쌍하다고 느꼈다.
101,나라를위해 하시는건가요 돈벌려고 그 길로 가신건가요?,왜 나라를위해 하시는건가요 돈벌려고 그 길로 가신건가요?
107,경추 요추 척추 압박골절시 시술 대기 기간 없애주세요,경추 요추 척추의 압박골절시 시술 대기 기간 없애주세요
109,영화의 재미 보다 짚라인 타 보고 싶다.,영화의 재미 보다 짚라인 타를 보고 싶다.
116,지금도 아침에 코칭 다니시고 가족들도 종종 함께 다니는 가족 운동이라고 하네요!,지금도 아침에 코칭 다니시고 가족들도 종종 함께 다니는 게 가족 운동이라고들 하네요!
121,아이가 게임에 빠지지 않게 하라는 방법이라고 합니다.,아이가 게임에 빠지지는 않게 하라는 방법이라고 합니다.
125,욱일기~ 전범기 관련 사용금지 법안을 당장만드시요,욱일기 ~ ~ 전범기 관련 사용금지 법안을 당장만드시요
128,남주 음식 흡입장면은 혐오감으로 편집바람.,남주 음식 흡입장면은 지나친 혐오감으로 편집바람.
129,이동식과속단속카메라 대신 과속단속cctv를 설치해 주세요.,이동식과속단속카메라 대신 과속단속cctv를 설치해 보여 주세요.
131,(저도 잘 맞아드릴 수 있음),( 저도 잘하면 맞아드릴 수 있음 )
155,엄청난 후폭풍을 몰고 올 개정.,이 엄청난 후폭풍을 몰고 올 개정.
162,대박! 허리가 훨씬 편안하게 느껴지네요.,대박!! 허리가 훨씬 편안하게 느껴지네요.
180,세상에 퍼펙트 월드란 없다,세상에 퍼펙트 월드란 게 없다
183,이 나이에 군대를 가고 싶습니다~~~ ^^,이 나이에 꼭 군대를 가고 싶습니다 ~ ~ ~ ^ ^
184,물론 아이들 동화같은건 아니고요.,물론 아이들은 동화같은건 아니고요.
193,아무쪼록 사내 비슷한 취미 가지신 분들 좀 계신거 같으니 관련해서 자주 얘기도 나누고 또 적용한 경험도 나누어요~!,아무쪼록 사내 비슷한 취미를 가지신 분들도 좀 계신거 같으니 관련해서도 자주 얘기도 나누고 또 적용한 경험도 나누어요 ~!
197,8월에는 꼭 피티 받으러 가겠습니다 ㅎㅎ,올 8월에는 꼭 피티 받으러 가겠습니다 ㅎㅎ
199,"차용거래,계약에관한법을 보완할 수있는지 알고싶습니다.","어떻게 차용거래, 계약에관한법을 보완할 수있는지 알고싶습니다."
212,시대를 타지 않는 명작...셰익스피어 원작 그자체,시대를 타지 않는 한 명작... 셰익스피어 원작 그자체
214,참여연대를 위한 위원회 국민들은 없다,- 참여연대를 위한 위원회 국민들은 없다
230,딱 세군데만 알려드릴게용! ㅎㅎㅎ,딱 세군데만은 알려드릴게용! ㅎㅎㅎ
232,"환경부가 4대강 중 남한강 이포보 개방으로 모래톱 드러나고 조개 폐사 위기가 닥치자 매일 10명이 재첩 주워다 강 속으로 던져, 세금 1300만원 들어갔습니다.","환경부가 4대강 중 남한강 이포보 개방으로 모래톱 드러나고, 조개 폐사 위기가 불어 닥치자 매일 10명이 재첩 주워다 강 속으로 던져 던져, 세금 1300만원 들어갔습니다."
237,어 저 되게 갸륵하게 나왔네요..ㅋㅋ,. 어 저 되게 갸륵하게 나왔네요.. ㅋㅋ
240,2018년 군인 월급 인상 1월부터 적용 안된다고 하는데 그렇게 될 경우 2월에 소급하여 지급해주세요.,2018년 군인 월급 인상 1월부터 적용 안된다고들 하는데 그렇게 될 경우는 2월에 소급하여 지급해주세요.
260,오페라 문외한인데도 불구하고 이 작품이 왜 유명한 지 알 것 같더군요.,오페라에 문외한인데도 불구하고 이 작품이 왜 유명한 지 잘 알 것 같더군요.
265,ㅋㅋ 보통 남자분들은 레깅스 + 반바지 조합 하시더라구용 ㅋㅋ,ㅋㅋ 보통 남자분들은 레깅스 + 반바지로 조합 하시더라구용 ㅋㅋ
267,# 한번만 눌러주시면 됩니다!!,# # 한번만 눌러주시면 됩니다!!
268,좀 더 진지하고 어둡게 만들었더라,좀 더 진지하고 어둡게끔 만들었더라
277,저도 아침에 받았었어요. ㄷㄷ..,저도 아침에 전화 받았었어요. ㄷㄷ..
290,아직은 낯선 컬트식 영화.,"아직은 낯선, 컬트식 영화."
292,책상크기 고려하면 아이맥스 환경으로 업무를 하시겠군요 ㅎㄷㄷ,책상크기 고려하면 아이맥스 환경으로서 업무를 하시겠군요 ㅎㄷㄷ
296,가발도 완전 허술하게 쓰고 착신아리 수준ㅡㅡ,가발도 없이 완전 허술하게 쓰고 착신아리 수준ㅡㅡ
334,콜센터에게 감정 폭력하는 사람에게 처벌해주세요,제발 콜센터에게 감정 폭력하는 사람에게 처벌해주세요
337,"여성 소방관 체력 시험 기준 상향은 불공평합니다, 그럼 남녀 구분 말고 뽑아주십시오.","그러나 여성 소방관 체력 시험 기준 상향은 불공평합니다, 그럼 남녀의 구분 말고 뽑아주십시오."
339,테스트 중이라서 이 채널에 알람은 꺼주셔도 좋습니다!!,테스트 진행 중이라서 이 채널에 알람은 꺼주셔도 좋습니다!!
346,심재철 회의 두번에 9천만원 사실인가요?,심재철 회의는 두번에 9천만원 사실인가요?
356,[기고] 법원 멋대로 운용하는 개인회생제도/이상일 언론인,/ [ 기고 ] 법원 멋대로 운용하는 개인회생제도 / 이상일 언론인
380,친자확인 의무화가 필요한 시대입니다.,친자확인의 의무화가 필요한 시대입니다.
385,드루킹에게 재벌개혁정책 부탁한건 국정농단 아닙니까?,그런데 드루킹에게 재벌개혁정책 부탁한건 국정농단 아닙니까?
391,"일요일, 공휴일에는 사무실 에어컨 가동 안된다고 하네요.","일요일, 공휴일에는 사무실에 에어컨 가동 안된다고 하네요."
393,오늘 정신이 없어서 기억이 좀 가물가물 하네요.,오늘 정신이 좀 없어서 기억이 좀 가물가물 하네요.
398,오늘 아침은 암벽 사이 길과 일출로 유명한 향일암에 다녀왔습니다.,오늘 아침은 암벽 사이 길과 일출로 유명한 경주 향일암에 다녀왔습니다.
402,"다시 본 맬 깁슨,","다시 본, 맬 깁슨,"
415,"그가 없었더라면 나는 뛰쳐나왔을지도 모르겟다,","그가 정말로 없었더라면 나는 뛰쳐나왔을지도 모르겟다,"
421,지금은 도저히 만들지 못할 실제 물량과 인원을 동원한 역작,지금은 도저히 만들지 못할 실제의 물량과 인원을 동원한 역작
425,이름만 보고 당연히 여자라고 생각했는데 남성분이셨군요!!ㅎㅎ,이름만 보고는 당연히 여자라고 생각했는데 남성분이셨군요!! ㅎㅎ
435,오오 이쁘네요 여기 ㅎㅎ,오오 넘 이쁘네요 여기 ㅎㅎ
436,이런 상륙작전은 더이상 하지마라.. 부탁이다,이런 상륙작전은 이제 더이상 하지마라.. 부탁이다
444,그리고 연달아 회의 세시간..!ㅋㅋㅋ이 기다리고 있군요!,그리고 연달아 회의 세시간..! ㅋㅋㅋ이 기다리고만 있군요!
445,"서로 프로젝트 관련 이야기도 하고, 어떻게 우리 회사를 알게 됐나, 등등 여러가지 이야기를 나눴습니다.","서로 프로젝트 관련 이야기도 하고, 어떻게 우리 회사를 알게 됐나,,, 등등 여러가지 이야기를 나눴습니다."
457,차로 확장을 자제 해 주십시요,가급적 차로 확장을 자제 해 주십시요
458,평소 애정하던 스타들이 자꾸.. 말을 걸어주시니깐 심장이 요동치네요.,평소 애정하던 아이돌 스타들이 자꾸.. 말을 걸어주시니깐 심장이 요동치네요.
466,애들은 용에 환장할 듯,애들은 사냥 용에 환장할 듯
479,“공정”한 사회 지금부터라도 선언합시다.,“ 공정 ” 한 우리 사회 지금부터라도 선언합시다.
493,어머니 병원을 갔다 왔더니 국민건강보험공단에서 잘못했으니 58만원 벌금내라고 합니다.,어머니 병원을 갔다 왔더니 국민건강보험공단에서 잘못했으니 58만원을 벌금내라고 합니다.
495,추석에 고향 잘 다녀오셔요!! ㅎㅎ,추석에 고향 잘들 다녀오셔요!! ㅎㅎ
507,주인공이 우리를 대변하는것 같아요.,주인공이 우리를 잘 대변하는것 같아요.
511,"대결이 숨 막혀야하는데, 하품이 나와.","대결이 숨 막혀야하는데, 하품이 절로 나와."
531,요근래 본 글 중 가장 핫했다..…,요근래가 본 글 중 가장 핫했다.. …
542,다들 근무환경이 다이나믹하시네요 !!,다들 근무환경이 굉장히 다이나믹하시네요!!
550,부동산정책... 1채있는 집을 팔고 싶다..,. 부동산정책... 1채있는 집을 팔고 싶다..
553,"약간의 재주를 부린 과대망상에 의한 과대망상을 위한 과대망상자의 영화,","약간의 재주를 부린 후 과대망상에 의한 과대망상을 위한 과대망상자의 영화,"
559,다음에 태도가 작품이 될 때 리뷰도 올려주세요!,다음에 태도가 작품이 될 때 리뷰도 같이 올려주세요!
560,저는 항상 진심입니다. ㅎㅎㅎ,ㅎㅎㅎ 저는 항상 진심입니다. ㅎㅎㅎ
561,와 이거 대반전인데 1등이 뭘까요?,와 이거는 대반전인데 1등이 뭘까요?
580,김생민 방송 그대로 하세요 힘을 보태요,김생민 방송 그대로 함께 하세요 힘을 보태요
591,식인 영화 치고는 영상미가 있다.,식인 영화 영화 치고는 영상미가 있다.
605,믕지가 잇어서 내가잇는거임 ㅎㅎㅎ,ㅋㅋㅋ 잇어서 내가잇는거임 ㅎㅎㅎ
608,무협영화를 좋아하게 만들어준 영화,무협영화를 더 좋아하게 만들어준 영화
612,이번주 초까지는 예쁘게 피어있을 것 같아요!,이번주 초까지는 예쁘게 피어있을 것 것 같아요!
616,저도 빨리 제주 지부 합류하고 싶습니다!!,저도 빨리 제주 지부 합류하고는 싶습니다!!
628,오.. 바라라를 게시글로 볼 날이 있군요 ㅋㅋ,오.. 바라라를 오늘 게시글로 볼 날이 있군요 ㅋㅋ
629,왜 저에게 이런일이? ㅋㅋ,왜 하필 저에게 이런일이? ㅋㅋ
642,이명박 전대통령 사법적 책임 물어 신속히 구속 시겨주십시오.,이명박 전대통령 사법적 책임 물어 신속히 구속을 시겨주십시오.
651,아직 ; 벌써 백일인게 신기하고 자랑스럽습니당,아직 ; 벌써 ; 백일인게 신기하고 자랑스럽습니당
653,나중에 B2C 서비스 만든다고 하면 이런 것 만들고 싶네요.,나중에 B2C 서비스 만든다고 하면 이런 것도 만들고 싶네요.
663,"하베스트 자원외교는 사기,누적손실 4조 :철저히조사해주세요","하베스트 : 자원외교는 사기, 누적손실 4조 : 철저히조사해주세요"
671,저희가 만든 기술이 소개되는 군요! ㅎㅎㅎ,저희가 만든 새로운 기술이 소개되는 군요! ㅎㅎㅎ
673,스포츠토토(배트맨) 운영 방식에 항의 합니다,스포츠토토 ( 배트맨 ) 의 운영 방식에 항의 합니다
675,애 셋? ㅎ.ㅎ ㅋㅋㅋ,애들 셋? ㅎ. ㅎ ㅋㅋㅋ
678,난 가 최고다 를 봐라 보다 짱이다,난 가 최고다 를 봐라 가 보다 짱이다
702,내장칩도 있는 도난신고된 반려견을 식용으로 잡을려고한 개장수를 처벌해주세요,내장칩도 있는 도난신고된 반려견을 위해 식용으로 잡을려고한 개장수를 처벌해주세요
704,전자제품의 소음기준을 KS/KC인증에 반영 시켜주세요.,전자제품의 소음기준을 KS / KC인증에 반영을 시켜주세요.
708,강제로 동문회비를 걷는 것에 대한 강력한 제재가 필요합니다.,강제로 동문회비를 걷는 것에 대한 강력한 정부 제재가 필요합니다.
713,이제 주년 그리고 편의 애마,이제 주년 그리고 편의상 애마
728,그전까진 아는사람만 아는 천재감독...,그전까진 아는사람만 아는건 천재감독...
729,할아버지를 보면 여러가지 생각이 교차하네유.,할아버지를 보면서 여러가지 생각이 교차하네유.
732,장병 휴대전화 사용에 대해서,장병들의 휴대전화 사용에 대해서
738,문 옆 박스들 위에 올려놓았어요.,문을 옆 박스들 위에 올려놓았어요.
742,너무 멋진 뷰를 보여주셔서 깜짝놀라고 말았네요ㅎㅎ,너무 멋진 뷰를 보여주셔서 정말 깜짝놀라고 말았네요ㅎㅎ
744,한번쯤 이런 인연을 만나는 것도 복이지..,한번쯤 이런 인연을 다시 만나는 것도 복이지..
747,교도소 에어컨설치 적극 반대합니다.,또한 교도소 에어컨설치 적극 반대합니다.
753,노골적으로 하는 장면이 나오는데...,. 노골적으로 하는 장면이 나오는데...
780,"금융개혁, 김기식을 '머슴'으로 써주십시오 II.","☞ 금융개혁, 김기식을'머슴'으로 써주십시오 II."
796,잘 자라는 식물만 키워서 그런 것 같아요 ㅋㅋ,잘 자라는 게 식물만 키워서 그런 것 같아요 ㅋㅋ
797,다음에 또 열어주시길 바라겠습니다!!,다음에는 또 열어주시길 바라겠습니다!!
845,"회사에서 집 오니 새벽 2시반, 야근이 싫어요!","회사에서 집 오니 새벽 2시반, 야근이 너무 싫어요!"
855,차로 10분이면 달리면 15분 거리!!,차로 10분이면 달리면서 15분 거리!!
861,책 살 돈 좀 주세요...,책 살 돈 좀 좀 주세요...
863,"전화도 안받고,단속 인원 없다고 모르세로 접수 받고 엉망이네요","전화도 제대로 안받고, 단속 인원 없다고 모르세로 접수 받고 엉망이네요"
878,30분이라는 짧은 시간이었지만 오디오만 들으면 반은 웃음소리였던 것 같은데요!,30분이라는 짧은 시간이었지만 오디오만 들으면 반은 그냥 웃음소리였던 것 같은데요!
892,배경화면 다시 찍어와야겠어요 ㅋㅋㅋ,배경화면 다시 찍어와야겠어요. ㅋㅋㅋ
896,아 오늘아니고 그저께에요 ㅎㅎ,아 오늘아니고 그저께에요. ㅎㅎ
912,"리프티드, 닥터 페퍼 최고 ㅋㅋㅋ","리프티드, 닥터 페퍼 최고! ㅋㅋㅋ"
928,그리고 더 발전할텐데 서울대 교수팀이 창업한 회사인데 기술과 방향 좋은듯요.,그리고 더 발전할텐데 서울대학교 교수팀이 창업한 회사인데 기술과 미래 방향 좋은듯요.
929,신청서 올려두고 못보고있었는데 들어와있었네요 ㅎㅎ,그래서 신청서 올려두고 못보고있었는데 들어와있었네요 ㅎㅎ
937,쭉 한결같다는 건 참 어렵다,이렇게 쭉 한결같다는 건 참 어렵다
941,북한이 개방하고 발전해도 반드시 지켜야 할 것은~~~~~~~~~^^,북한이 개방하고 발전해도 반드시 지켜야만 할 것은 ~ ~ ~ ~ ~ ~ ~ ~ ~ ^ ^
955,인터뷰도 짧게 포함되어 들어갈 수 있습니다.,인터뷰도 짧게 포함되어 들어갈 볼 수 있습니다.
956,ㅋㅋㅋ두분 진짜 체육인!!! 멋짐니다..,ㅋㅋㅋ두분 진짜 멋진 체육인!!! 멋짐니다..
961,"어쩌다가 마소가 블리자드를 인수한 얘기가 나왔는데, 블리자드와 닌텐도를 비교해보면서 역시 IP의 힘은 대단하다는 것을 새삼 느낄 수 있었습니다.","어쩌다가 마소가 블리자드를 전격 인수한 얘기가 나왔는데, 블리자드와 닌텐도를 직접 비교해보면서 역시 닌텐도 IP의 힘은 대단하다는 것을 새삼 느낄 수 있었습니다."
968,이렇게 잘생긴 애기가 있을수 있을까요?,이렇게 잘생긴 애기가 또 있을수 있을까요?
972,대주주 양도세가 합리적이지 않다....,대주주의 양도세가 합리적이지 않다....
989,저는 아이에게 아빠가 될 수 없나요?,저는 아이에게 아빠가 어떻게 될 수 없나요?
992,부실수사의 본체 거제경찰서장 직위해제,검찰 부실수사의 본체 거제경찰서장 직위해제
997,사법 농단으로 피해본 사건을 수사해 주세요,사법 농단으로 피해본 사건을 수사해봐 주세요
998,태극기 집회에 쓰이는 태극기 훼손에 관한 처벌,태극기 집회에 쓰이는 태극기 훼손에 이에 관한 처벌
1000,이재수 고인의 명복을 빕니다,이재수 고인의 안타까운 명복을 빕니다
1002,앞서 공지된 사항대로 회식의 조편성은 4명인데요.,앞서 공지된 사항대로 회식의 경우 조편성은 4명인데요.
1016,백스 매칭이 안잡힌다고 하십니다,백스는 매칭이 안잡힌다고 하십니다
1017,마지막에 있는 5단계 프로세스가 너무 와닿아서 슬프네요…,마지막에 있는 5단계 프로세스가 너무 너무 와닿아서 슬프네요 …
1020,헉?! 알파벳은 든든합니다. ~!,! 헉?! 알파벳은 든든합니다. ~!
1043,ㅋㅋ 제가 책임지고 밀어보겠습니다ㅎㅎ,ㅋㅋ 제가 직접 책임지고 밀어보겠습니다ㅎㅎ
1053,ㅋㅋ 심각한 오독을 했네요… 민망쓰,ㅋㅋ 심각한 오독을 했네요 … … 민망쓰
1056,다주택자의 대출을 신속히 회수하라,다주택자의 고금리 대출을 신속히 회수하라
1058,어떤 각도에서 봐야 재밌다는건지..,어떤 다른 각도에서 봐야 재밌다는건지..
1080,영화마다 진지하게 일장연설하는 부분은 제발 이제 그만~,영화마다 진지하게 ~ 일장연설하는 부분은 제발 이제 그만 ~
1089,달달달 조금 오래 볶으면 단맛이 더욱 올라옵니다 ㅎㅎㅎ,달달달 조금만 오래 볶으면 단맛이 더욱 올라옵니다 ㅎㅎㅎ
1096,엄마까투리의 품이 참 포근했어요.,그런데 엄마까투리의 품이 참 포근했어요.
1110,관악구청 형평에 맞지 않는 행정 바로 잡아주세요,관악구청 형평에 맞지 않는 구청 행정 바로 잡아주세요
1111,거대한 산은 얼굴이 많다-김혜리 기자,거대한 산은 사람 얼굴이 많다 - 김혜리 기자
1115,이번 주말은 만화 킹덤과 함께해 볼 예정입니다~!,이번 주말은 만화가 킹덤과 함께해 볼 예정입니다 ~!
1118,저도 모르게.. 하와이 간접체험 할 사람마냥 넘나리 많은 질문들을 드렸네요ㅋㅋ,.. 저도 모르게.. 하와이 간접체험 할 사람마냥 넘나리 많은 질문들을 드렸네요ㅋㅋ
1128,남성 신상정보를 올리는 남혐범죄 제보 합니다.,남성 신상정보를 몰래 올리는 남혐범죄 제보 합니다.
1136,ㅋㅋ 제가 디렉팅 / 슈팅 했습니다!,ㅋㅋ 제가 직접 디렉팅 / 슈팅 했습니다!
1143,경제팀에 경제학자가 없다는게 말이 됩니까,경제팀에는 경제학자가 없다는게 말이 됩니까
1154,난 꿈을 꾼다 그러니 미치지 않은거야,근데 난 꿈을 꾼다 그러니 미치지 않은거야
1156,진짜 잘 만든 시트콤.,진짜 제일 잘 만든 시트콤.
1166,"난 평소에 역사에 관심이잇고 이런 보물찾기, 미지의모험 열라좋아함 ㅋㅋ대박 ㅋㅋㅋ","난 사실 평소에 역사에 관심이잇고 이런 보물찾기, 미지의모험 열라좋아함 ㅋㅋ대박 ㅋㅋㅋ ㅋㅋㅋ"
1167,아마 내부에 스테프 있어서 돌리시는 중일듯요.,아마 아마 내부에 스테프 있어서 돌리시는 중일듯요.
1185,참가하실분들 댓글 부탁드립니당 ㅎ,참가하실분들 댓글 부탁드립니당. ㅎ
1198,개인/팀 단위 참여 가능하고 1등시 250만원이네요.,보통 개인 / 팀 단위 참여 가능하고 1등시 250만원이네요.
1201,몽크스부처가 분위기도 좋고 맛도 좋더라고요.,몽크스부처가 분위기도 좋고 맛도 아주 좋더라고요.
1214,스타 분들의 생각도 시간되실 때 스레드로 남겨주심 넘 좋을 거 같아요 !!,스타 분들의 그 어떤 생각도 시간되실 때 스레드로 남겨주심 넘 좋을 거 같아요!!
1215,오 저번에 1일 무료체험이 가능하다고 하셨던 것 같은데!,오 저번에 1일 무료체험이 가능하다고 하셨던 것도 같은데!
1216,그래도 전 오덕은 안되겠습니다ㅠ,"그래도, 전 오덕은 안되겠습니다ㅠ"
1224,와~ 사진만 봐도 너무너무 좋네요.,와 ~ 사진만 딱 봐도 너무너무 좋네요.
1228,"요즘 푸욱 빠진 아이키님 세바시 강연을 우연히 지금에서야 봤는데,","요즘 푸욱 빠진 아이키님 세바시 강연을 우연히 지금에서야 해 봤는데,"
1237,옳고 그르다를 판단할 필요가 없다.,옳고 그르다를 판단할 필요가 전혀 없다.
1247,추가적으로 권한 부여가 필요한 경우 추가적으로 부탁드리겠습니다,추가적으로 권한 부여가 꼭 필요한 경우 추가적으로 부탁드리겠습니다
1252,"일정 이용자 이상 사용 토론 싸이트에서 본인인증을 하고, 이름을 1자리 빼고 공개하게 해주세요.","일정 이용자 이상은 사용 토론 싸이트에서 본인인증을 하고, 사용자 이름을 1자리 빼고 공개하게 해주세요."
1260,희귀병을앓고있으면서 의료사고로 힘든 모녀입니다,희귀병을앓고있으면서 각종 의료사고로 힘든 모녀입니다
1268,대통령의 한국 발음을 똑바로 해주세요,대통령의 한국말 발음을 똑바로 해주세요
1273,여행한 나라마다 매력적인 것들 있었고 그 때 그 때 생각 나는 게 다르다고 합니다.,여행한 나라마다 매력적인 것들 있었고 그 어느 때 그 때는 생각 나는 게 다르다고 합니다.
1280,"재미는 있는데, 이게 어떻게 세지...?","재미는 있는데,. 이게 어떻게 세지...?"
1289,최근에 블로깅을 시작해서 꾸준히 운영하는 것이 올해의 버킷리스트라고 합니다.,최근에 블로깅을 시작해서 꾸준히 운영하는 것이 올해의 베스트 버킷리스트라고 합니다.
1292,사기캐만 모아둔 것 같은 신인 여돌,사기캐만 모아둔 것 같은데 신인 여돌
1307,지금 제 혼이 비정상 입니다.,지금 제 혼이 지금 비정상 입니다.
1311,이창동 아니면 영화 만들지마라...,. 이창동 아니면 영화 만들지마라...
1318,소방관 고귀한희생구조대가 국민을 구하다가희생되는,소방관과 고귀한희생구조대가 국민을 구하다가희생되는
1334,위조여건 사무실에 배달된거 진짜 아님ㅋㅋ,위조여건이 사무실에 배달된거 진짜 아님ㅋㅋ
1340,가히 명예도민 수준의 로컬력을 확인할 수 있었습니다.,그리고 가히 명예도민 수준의 로컬력을 확인할 수 있었습니다.
1344,누군가 분석해주신 저희 회사 정보,누군가 분석해주신 바로 저희 회사 정보
1345,한국GM에 공적자금 (국밈혈세)지원을 반대합니다,또한 한국GM에 공적자금 ( 국밈혈세 ) 지원을 반대합니다
1350,서핑하러 가셔야 하는데 미세먼지 매우나쁨으로 못 가고 계신다는..ㅠㅠ,서핑하러 가셔야 하는데. 미세먼지 매우나쁨으로 못 가고 계신다는.. ㅠㅠ
1351,저 비건 꿈나무 맞습니다....,저는 비건 꿈나무 맞습니다....
1353,국회의원& 청와대 님들은... 발발이 였군요!!,. 국회의원 & 청와대 님들은... 발발이 였군요!!
1355,정확한 한글 발음에 대한 인지,그러나 정확한 한글 발음에 대한 인지
1366,청소는 이제 자율주행 청소기가 합니다.,실내 청소는 이제 자율주행 청소기가 합니다.
1370,연휴 때는 부디!!! 밀린 넷플릭스 콘텐츠 다 섭렵하시길 바라겠습니닷!! ㅎㅎㅎ,연휴 가실 때는 부디!!!! 밀린 넷플릭스 콘텐츠 다 섭렵하시길 바라겠습니닷!! ㅎㅎㅎ
1377,반담과 노리스 앳킨스 가 나와 더욱 활기찼다,그리고 반담과 노리스 앳킨스 가 나와 더욱 활기찼다
1386,그래도 이번엔 혼자서 고생하는건 아니군 둘이네,그래도 이번엔 서로 혼자서 고생하는건 아니군 둘이네
1390,그리고 그 안경낀 애는 정말 짜증,아 그리고 그 안경낀 애는 정말 짜증
1393,겁이 나는가?이런 사랑을 한다는것이..,겁이 안 나는가? 이런 사랑을 한다는것이..
1395,진짜 오래된 영화임이 무색하게 빠져들어서 보게 된다.,진짜 오래된 공포 영화임이 무색하게 빠져들어서 보게 된다.
1400,아~그냥 답답.. 뭐~싸우는 대사뿐이고.. 에혀..,아 ~ 그냥 답답.. 뭐 ~ 싸우는 건 대사뿐이고.. 에혀..
1406,밖에 보이는 것은… 한..한강 다리에요?! 와우!,밖에서 보이는 것은 … 한.. 한강 다리에요?! 와우!
