Unnamed: 0,sentence,sentence_bert,similarity
4852,"코로나에 대한 이야기도 하고, 제가 런닝을 ~하다말다~ 하고 있어서 런닝에 대한 조언도 받았습니다.","코로나에 대한 이야기도 하고, 또 제가 런닝을 ~ 하다말다 ~ 하고 있어서, 런닝에 대한 조언도 받았습니다.",1.0000000000000004
5165,"서번째 보면서 눈물을 흘렸다,,",", 서번째 보면서 눈물을 흘렸다,,",1.0000000000000004
8726,오 그럼 잠드시기 전에 알려주세요! ㅋㅋ,오 그럼 잠드시기 전에 꼭 알려주세요! ㅋㅋ,1.0000000000000004
7793,한 번 문의 드려 볼게요~~,한 번 문의 드려 봐 볼게요 ~ ~,1.0000000000000004
8465,국가토지 임대후 그 토지를 전대하여 이득을 취하는자 엄벌,국가토지 임대후 그 토지를 전대하여 그 이득을 취하는자 엄벌,1.0000000000000004
7551,삶이 무료할 땐 휴가를!!!!,내 삶이 무료할 땐 휴가를!!!!,1.0000000000000004
2083,"구적폐와 신적폐, 다 배척하여야할 대상, 보통 국민을 표준으로 하여주십시오","구적폐와, 신적폐, 다 배척하여야할 대상, 보통 국민을 표준으로 하여주십시오",1.0000000000000004
753,노골적으로 하는 장면이 나오는데...,. 노골적으로 하는 장면이 나오는데...,1.0000000000000004
2397,제건 7명 이상 무리데스네요 ㅋ.ㅋ ㅋㅋ,제건 7명 이상 무리데스네요. ㅋ. ㅋ ㅋㅋ,1.0000000000000004
2934,음주운전도 중요하지만 졸음운전 노약자나 심신미약자 운전미숙도 좀 중요시합시다.,"음주운전도 중요하지만, 졸음운전 노약자나 심신미약자 운전미숙도 좀 중요시합시다.",1.0000000000000004
356,[기고] 법원 멋대로 운용하는 개인회생제도/이상일 언론인,/ [ 기고 ] 법원 멋대로 운용하는 개인회생제도 / 이상일 언론인,1.0000000000000004
1800,지브리 좋아하는 사람은 안깔아보곤 못 버틸 것 같은 게임!,지브리 좋아하는 사람은 안깔아보곤 못 버틸 것 같은 이 게임!,1.0000000000000004
2444,앤헤서웨이가 정말 이쁘다는거빼곤 기억에 남지 않음,앤헤서웨이가 정말 이쁘다는거빼곤 잘 기억에 남지 않음,1.0000000000000004
